Libellé;;Taux de chômage au sens du BIT - Hommes de moins de 25 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Hommes de 25 à 49 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Hommes de 50 ans et plus - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des hommes - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Femmes de moins de 25 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Femmes de 25 à 49 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Femmes de 50 ans et plus - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des femmes - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des moins de 25 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des 25 à 49 ans - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble des 50 ans et plus - Données CVS - Série arrêtée;Taux de chômage au sens du BIT - Ensemble - Données CVS - Série arrêtée
IdBank;;000459359;000459360;000459361;000459362;000459363;000459364;000459365;000459366;000459367;000459368;000459369;000459370
Année;Mois
1981;6;12,3;3,8;4,6;5,4;24,5;7,6;6,3;10,7;17,7;5,3;5,2;7,5
1981;5;;;;;;;;;;;;
1981;4;;;;;;;;;;;;
1981;3;11,5;3,5;4,4;5,1;23,8;7,3;6,2;10,4;17,0;5,0;5,1;7,2
1981;2;;;;;;;;;;;;
1981;1;;;;;;;;;;;;
1980;12;10,7;3,3;4,1;4,7;22,8;6,9;6,0;9,9;16,1;4,7;4,8;6,8
1980;11;;;;;;;;;;;;
1980;10;;;;;;;;;;;;
1980;9;10,0;3,0;3,9;4,4;22,0;6,6;5,9;9,6;15,3;4,4;4,7;6,4
1980;8;;;;;;;;;;;;
1980;7;;;;;;;;;;;;
1980;6;9,4;2,8;3,8;4,1;21,7;6,4;5,9;9,4;14,8;4,2;4,6;6,2
1980;5;;;;;;;;;;;;
1980;4;;;;;;;;;;;;
1980;3;9,5;2,8;3,7;4,2;21,8;6,4;5,8;9,4;14,9;4,2;4,5;6,2
1980;2;;;;;;;;;;;;
1980;1;;;;;;;;;;;;
1979;12;9,3;2,9;3,9;4,2;21,1;6,3;5,6;9,2;14,5;4,2;4,5;6,2
1979;11;;;;;;;;;;;;
1979;10;;;;;;;;;;;;
1979;9;9,3;3,0;3,9;4,3;20,2;6,1;5,3;8,9;14,1;4,2;4,4;6,1
1979;8;;;;;;;;;;;;
1979;7;;;;;;;;;;;;
1979;6;9,2;3,0;3,9;4,3;19,5;5,8;5,0;8,5;13,8;4,1;4,3;6,0
1979;5;;;;;;;;;;;;
1979;4;;;;;;;;;;;;
1979;3;9,0;3,0;3,8;4,2;18,7;5,7;4,8;8,3;13,2;4,0;4,2;5,8
1979;2;;;;;;;;;;;;
1979;1;;;;;;;;;;;;
1978;12;8,9;2,9;3,7;4,1;18,0;5,7;4,6;8,1;13,0;4,0;4,0;5,7
1978;11;;;;;;;;;;;;
1978;10;;;;;;;;;;;;
1978;9;9,1;2,8;3,5;4,0;18,0;5,7;4,3;8,1;13,0;3,9;3,8;5,6
1978;8;;;;;;;;;;;;
1978;7;;;;;;;;;;;;
1978;6;8,1;2,6;3,4;3,7;16,0;5,4;4,1;7,5;11,6;3,7;3,6;5,2
1978;5;;;;;;;;;;;;
1978;4;;;;;;;;;;;;
1978;3;7,4;2,5;3,2;3,5;14,9;5,4;3,8;7,1;10,7;3,6;3,4;4,9
1978;2;;;;;;;;;;;;
1978;1;;;;;;;;;;;;
1977;12;7,8;2,4;3,2;3,5;15,7;5,6;4,1;7,5;11,3;3,6;3,5;5,1
1977;11;;;;;;;;;;;;
1977;10;;;;;;;;;;;;
1977;9;9,1;2,5;3,1;3,8;16,9;5,7;4,3;7,9;12,6;3,7;3,6;5,4
1977;8;;;;;;;;;;;;
1977;7;;;;;;;;;;;;
1977;6;9,0;2,3;3,0;3,6;17,5;5,7;4,4;8,1;12,7;3,6;3,5;5,3
1977;5;;;;;;;;;;;;
1977;4;;;;;;;;;;;;
1977;3;8,0;2,1;2,9;3,3;15,8;5,4;4,5;7,5;11,5;3,3;3,5;4,9
1977;2;;;;;;;;;;;;
1977;1;;;;;;;;;;;;
1976;12;7,0;1,9;2,7;3,0;14,4;5,0;4,2;6,9;10,3;3,1;3,3;4,5
1976;11;;;;;;;;;;;;
1976;10;;;;;;;;;;;;
1976;9;6,8;2,0;2,6;3,0;14,3;5,1;4,0;6,9;10,1;3,1;3,1;4,5
1976;8;;;;;;;;;;;;
1976;7;;;;;;;;;;;;
1976;6;6,7;2,1;2,6;3,0;15,1;5,2;3,9;7,2;10,4;3,2;3,1;4,6
1976;5;;;;;;;;;;;;
1976;4;;;;;;;;;;;;
1976;3;6,8;2,1;2,6;3,1;14,8;5,0;3,7;7,0;10,3;3,2;3,0;4,6
1976;2;;;;;;;;;;;;
1976;1;;;;;;;;;;;;
1975;12;6,9;2,2;2,6;3,1;13,6;4,9;3,6;6,6;9,8;3,1;3,0;4,4
1975;11;;;;;;;;;;;;
1975;10;;;;;;;;;;;;
1975;9;7,4;2,2;2,5;3,2;13,3;4,9;3,5;6,5;10,0;3,2;2,9;4,5
1975;8;;;;;;;;;;;;
1975;7;;;;;;;;;;;;
1975;6;7,1;2,1;2,3;3,0;12,5;4,7;3,3;6,2;9,5;3,0;2,7;4,2
1975;5;;;;;;;;;;;;
1975;4;;;;;;;;;;;;
1975;3;6,0;1,8;2,1;2,6;10,8;4,3;3,1;5,5;8,1;2,7;2,5;3,7
1975;2;;;;;;;;;;;;
1975;1;;;;;;;;;;;;
1974;12;5,4;1,5;1,9;2,3;10,8;3,9;3,0;5,4;7,8;2,4;2,3;3,4
1974;11;;;;;;;;;;;;
1974;10;;;;;;;;;;;;
1974;9;4,1;1,2;1,6;1,8;9,8;3,4;3,0;4,8;6,5;2,0;2,1;2,9
1974;8;;;;;;;;;;;;
1974;7;;;;;;;;;;;;
1974;6;3,1;1,0;1,5;1,5;9,2;3,1;3,0;4,5;5,7;1,7;2,0;2,6
1974;5;;;;;;;;;;;;
1974;4;;;;;;;;;;;;
1974;3;3,3;1,0;1,5;1,5;10,0;3,1;3,1;4,7;6,2;1,7;2,1;2,7
1974;2;;;;;;;;;;;;
1974;1;;;;;;;;;;;;
1973;12;3,4;1,0;1,6;1,6;9,6;3,0;3,1;4,6;6,1;1,7;2,2;2,7
1973;11;;;;;;;;;;;;
1973;10;;;;;;;;;;;;
1973;9;3,5;1,1;1,7;1,7;9,6;3,1;3,2;4,7;6,2;1,8;2,2;2,8
1973;8;;;;;;;;;;;;
1973;7;;;;;;;;;;;;
1973;6;3,3;1,0;1,6;1,6;8,7;3,0;3,2;4,4;5,6;1,7;2,2;2,6
1973;5;;;;;;;;;;;;
1973;4;;;;;;;;;;;;
1973;3;3,1;1,0;1,7;1,6;8,5;3,0;3,2;4,4;5,5;1,7;2,2;2,6
1973;2;;;;;;;;;;;;
1973;1;;;;;;;;;;;;
1972;12;3,3;1,1;1,8;1,7;8,8;3,2;3,3;4,6;5,7;1,8;2,3;2,7
1972;11;;;;;;;;;;;;
1972;10;;;;;;;;;;;;
1972;9;3,5;1,1;1,9;1,8;8,8;3,3;3,5;4,7;5,8;1,9;2,5;2,8
1972;8;;;;;;;;;;;;
1972;7;;;;;;;;;;;;
1972;6;3,4;1,1;2,2;1,8;8,3;3,3;3,8;4,7;5,5;1,9;2,8;2,8
1972;5;;;;;;;;;;;;
1972;4;;;;;;;;;;;;
1972;3;3,3;1,1;2,2;1,7;8,0;3,4;3,8;4,7;5,3;1,9;2,8;2,8
1972;2;;;;;;;;;;;;
1972;1;;;;;;;;;;;;
1971;12;3,2;1,1;2,1;1,7;8,0;3,4;3,8;4,7;5,3;1,9;2,7;2,8
1971;11;;;;;;;;;;;;
1971;10;;;;;;;;;;;;
1971;9;3,0;1,1;2,1;1,7;8,1;3,3;3,7;4,6;5,2;1,8;2,7;2,7
1971;8;;;;;;;;;;;;
1971;7;;;;;;;;;;;;
1971;6;2,9;1,1;2,0;1,6;8,1;3,2;3,7;4,6;5,1;1,8;2,6;2,7
1971;5;;;;;;;;;;;;
1971;4;;;;;;;;;;;;
1971;3;2,7;1,0;2,0;1,6;8,2;3,2;3,7;4,6;5,1;1,8;2,6;2,7
1971;2;;;;;;;;;;;;
1971;1;;;;;;;;;;;;
1970;12;2,7;1,0;2,0;1,5;8,3;3,1;3,7;4,6;5,1;1,7;2,6;2,6
1970;11;;;;;;;;;;;;
1970;10;;;;;;;;;;;;
1970;9;2,8;0,9;1,9;1,5;8,2;2,9;3,7;4,5;5,1;1,6;2,5;2,6
1970;8;;;;;;;;;;;;
1970;7;;;;;;;;;;;;
1970;6;3,0;0,9;1,8;1,5;8,1;2,8;3,6;4,4;5,1;1,5;2,5;2,5
1970;5;;;;;;;;;;;;
1970;4;;;;;;;;;;;;
1970;3;2,9;0,9;1,8;1,5;7,3;2,6;3,5;4,1;4,8;1,4;2,4;2,4
1970;2;;;;;;;;;;;;
1970;1;;;;;;;;;;;;
1969;12;2,4;0,8;1,8;1,4;6,4;2,5;3,5;3,7;4,1;1,4;2,4;2,2
1969;11;;;;;;;;;;;;
1969;10;;;;;;;;;;;;
1969;9;2,1;0,8;1,9;1,3;5,9;2,4;3,6;3,6;3,7;1,3;2,5;2,1
1969;8;;;;;;;;;;;;
1969;7;;;;;;;;;;;;
1969;6;2,2;0,9;2,0;1,4;6,1;2,5;3,8;3,8;3,8;1,4;2,6;2,2
1969;5;;;;;;;;;;;;
1969;4;;;;;;;;;;;;
1969;3;2,7;1,0;2,1;1,6;7,0;2,7;3,8;4,1;4,5;1,5;2,7;2,5
1969;2;;;;;;;;;;;;
1969;1;;;;;;;;;;;;
1968;12;2,7;1,1;2,0;1,6;7,4;2,9;3,6;4,2;4,7;1,7;2,6;2,5
1968;11;;;;;;;;;;;;
1968;10;;;;;;;;;;;;
1968;9;3,3;1,3;1,9;1,8;8,0;3,1;3,2;4,4;5,3;1,8;2,4;2,7
1968;8;;;;;;;;;;;;
1968;7;;;;;;;;;;;;
1968;6;3,7;1,3;1,8;1,9;8,7;3,3;2,9;4,6;5,8;2,0;2,2;2,9
1968;5;;;;;;;;;;;;
1968;4;;;;;;;;;;;;
1968;3;3,5;1,2;1,7;1,8;8,3;2,9;2,7;4,2;5,5;1,7;2,0;2,6
1968;2;;;;;;;;;;;;
1968;1;;;;;;;;;;;;
1967;12;2,9;1,1;1,6;1,6;7,7;2,8;2,6;4,0;4,9;1,7;2,0;2,5
